feature,pearson_r,pearson_p,spearman_r,spearman_p
num_steps,0.026107848550173972,0.34341034134268367,0.026475759224599816,0.3366505030645264
num_numbers,-0.022763981892910155,0.4087664269161096,-0.026811132293722978,0.3305635042304647
question_length,0.0022518101558327026,0.9348821793576668,0.008772511372190778,0.750253990592331
answer_magnitude,0.0016763261866457864,0.9515000117472,0.01963592396604396,0.4761361263632595
multi_operation,,,,
has_fractions,0.04373543907058135,0.11236796354264482,0.04373543907058135,0.11236796354264482
has_percentages,-0.029749879653550585,0.28028831414019084,-0.029749879653550585,0.28028831414019084
has_comparison,-0.007323647325600464,0.7904456932650956,-0.007323647325600464,0.7904456932650956
